id,name,color,text_color,hide_when_empty,sort_order,created_at,updated_at,creator
46,AI,#2563EB,#ffffff,false,1,2026-06-24 01:21:50.319623+00,2026-06-24 01:21:50.319623+00,
47,产品,#059669,#ffffff,false,2,2026-06-24 01:21:50.319623+00,2026-06-24 01:21:50.319623+00,
48,产品创新,#D97706,#ffffff,false,3,2026-06-24 01:21:50.319623+00,2026-06-24 01:21:50.319623+00,
49,内容营销,#8B5CF6,#ffffff,false,4,2026-06-24 01:21:50.319623+00,2026-06-24 01:21:50.319623+00,
50,商业模式,#DC2626,#ffffff,false,5,2026-06-24 01:21:50.319623+00,2026-06-24 01:21:50.319623+00,
51,战略规划/战略解码/战略落地,#0891B2,#ffffff,false,6,2026-06-24 01:21:50.319623+00,2026-06-24 01:21:50.319623+00,
52,技术,#15803D,#ffffff,false,7,2026-06-24 01:21:50.319623+00,2026-06-24 01:21:50.319623+00,
53,数据,#F59E0B,#ffffff,false,8,2026-06-24 01:21:50.319623+00,2026-06-24 01:21:50.319623+00,
54,数智化供应链,#DB2777,#ffffff,false,9,2026-06-24 01:21:50.319623+00,2026-06-24 01:21:50.319623+00,
55,数智化营销,#EA580C,#ffffff,false,10,2026-06-24 01:21:50.319623+00,2026-06-24 01:21:50.319623+00,
56,流程管理,#0D9488,#ffffff,false,11,2026-06-24 01:21:50.319623+00,2026-06-24 01:21:50.319623+00,
57,电商,#C026D3,#ffffff,false,12,2026-06-24 01:21:50.319623+00,2026-06-24 01:21:50.319623+00,
58,组织人才,#475569,#8B7355,false,13,2026-06-24 01:21:50.319623+00,2026-06-24 01:21:50.319623+00,
59,通用（领导力/协同/执行力/目标管理）,#78716C,#ffffff,false,14,2026-06-24 01:21:50.319623+00,2026-06-24 01:21:50.319623+00,
60,会员运营,#7C3AED,#ffffff,true,15,2026-06-24 01:21:50.319623+00,2026-06-24 01:21:50.319623+00,
