id,title,expert_id,pending_expert_name,year,month,satisfaction,description,visible,created_by,created_at,updated_at
proj_k01,集团数智化转型战略研讨赋能,53,,2024,,"{""scale"":10,""value"":8.2}",,true,主管理员,2026-06-24 03:00:00+00,2026-06-24 03:00:00+00
proj_k02,聚焦端到端价值引领架构升级主题赋能：流程管理,,陈果,2024,,"{""scale"":10,""value"":9.5}",,false,主管理员,2026-06-24 03:00:00+00,2026-06-24 03:00:00+00
proj_k03,数字化媒介趋势与实践培训：数字化营销、消费者运营,,宋星,2024,,"{""scale"":10,""value"":7.9}",,false,主管理员,2026-06-24 03:00:00+00,2026-06-24 03:00:00+00
proj_k04,供应链数字化课程/工作坊：供应链数字化推广,52,,2022,,"{""scale"":10,""value"":9.1}",,true,主管理员,2026-06-24 03:00:00+00,2026-06-24 03:00:00+00
proj_k05,结构思考力：结构思考力、内训师培养,56,,2022,,"{""scale"":10,""value"":7.7}",,true,主管理员,2026-06-24 03:00:00+00,2026-06-24 03:00:00+00
proj_k06,结构思考力系列视频,56,,2023,,,,true,主管理员,2026-06-24 03:00:00+00,2026-06-24 03:00:00+00
proj_k07,上接业务、下接技术全链路能力,,刘剑峰,2024,,,,false,主管理员,2026-06-24 03:00:00+00,2026-06-24 03:00:00+00
proj_k08,数智领导力与商业变革,,刘剑峰,2024,,,,false,主管理员,2026-06-24 03:00:00+00,2026-06-24 03:00:00+00
proj_k09,需求洞察、产品定义及设计工作坊：设计思维、UED体验,33,,2024,,"{""scale"":10,""value"":7.7}",,true,主管理员,2026-06-24 03:00:00+00,2026-06-24 03:00:00+00
proj_k10,深度刻画、共情力升级产品体验训练营,33,,2024,,,,true,主管理员,2026-06-24 03:00:00+00,2026-06-24 03:00:00+00
proj_k11,数科共创领导力：共创引导技术,,林小桢,2023,,"{""scale"":10,""value"":7.6}",,false,主管理员,2026-06-24 03:00:00+00,2026-06-24 03:00:00+00
proj_k12,黄金表达力：演讲表达、业务影响力,,刘慕雅,2022,,"{""scale"":10,""value"":7.5}",,false,主管理员,2026-06-24 03:00:00+00,2026-06-24 03:00:00+00
proj_k13,黄金表达MAX,,刘慕雅,2024,,,,false,主管理员,2026-06-24 03:00:00+00,2026-06-24 03:00:00+00
proj_k14,数科战略解码工作坊,54,,2024,,"{""scale"":10,""value"":8.8}",,true,主管理员,2026-06-24 03:00:00+00,2026-06-24 03:00:00+00
proj_k15,AI强基计划【YILI-AI实用技巧】,44,,2026,1,"{""scale"":10,""value"":8.3}",,true,主管理员,2026-06-24 03:00:00+00,2026-07-28 06:58:02.829+00
proj_k16,AI训练营：第一期,4,,2026,3,"{""scale"":5,""value"":4.66}",,true,主管理员,2026-06-24 03:00:00+00,2026-07-28 06:57:30.265+00
proj_k17,伊数霞光赋能事业部-渠道数字化外部分享,,王林,2026,,,,false,主管理员,2026-06-24 03:00:00+00,2026-06-24 03:00:00+00
proj_k18,电商私董会,,蒋晖,2026,,,,false,主管理员,2026-06-24 03:00:00+00,2026-06-24 03:00:00+00
proj_mr1emf9f_1j2g02,管理进化3：品质引领·体验升级,33,,2026,6,"{""scale"":5,""value"":4.84}",重视消费者/用户体验，追求品质至上，全面提升核心管理团队的业务导向，深入理解产品品质内涵和标准，了解优秀产品的设计方法，做好产品评估与管理。,true,主管理员,2026-07-01 01:36:00.195+00,2026-07-01 01:36:00.195+00
proj_mraifsau_qp5y3y,AI训练营：第二期,4,,2026,4,"{""scale"":5,""value"":4.76}",,true,主管理员,2026-07-07 10:32:44.55+00,2026-07-28 06:57:48.428+00
proj_mraigykl_mt45c9,产品+算法AI进阶,4,,2026,1,"{""scale"":5,""value"":4.8}",系统性搭建产品经理的 AI 知识体系，掌握落地实操方法,true,主管理员,2026-07-07 10:33:39.333+00,2026-07-07 10:33:39.333+00
proj_ms4e7q6p_gxuwzc,《A+经理人》管理进化训练营,,罗剑勇,2026,7,"{""scale"":5,""value"":4.91}",聚焦目标承接与执行、跨组织协同、团队管理三大核心能力建设，统一管理语言和工具,false,主管理员,2026-07-28 08:27:35.377+00,2026-07-28 08:27:35.378+00
proj_ms4e96ga_ynemik,Agent产品复盘,4,,2026,7,,复盘Agent搭建能力，识别优秀场景和人才，完善公司Agent产品知识框架，输出统一规范,true,主管理员,2026-07-28 08:28:43.114+00,2026-07-28 08:28:43.114+00
